COMMON_NAME,GUILD,SPECIES_NAME,SPECIES_CODE
Striped venus,undefined,Chamelea gallina,SVE
White seabream,Demersal,Diplodus sargus,SWA
Swordfish,Pelagic,Xiphias gladius,SWO
"Threadfins, tasselfishes nei",undefined,Polynemidae,THF
Electric rays nei,undefined,Torpedinidae,TOD
Torpedo rays,undefined,Torpedo spp,TOE
"Jacks, crevalles nei",undefined,Caranx spp,TRE
Grey triggerfish,undefined,Balistes carolinensis,TRG
"Triggerfishes, durgons nei",undefined,Balistidae,TRI
White trevally,Demersal,Pseudocaranx dentex,TRZ
True tunas nei,Pelagic,Thunnus spp,TUS
Tuna-like fishes nei,Pelagic,Scombroidei,TUX
Ballan wrasse,undefined,Labrus bergylta,USB
Spiny lobsters nei,Benthic,Palinuridae,VLO
Whelk,undefined,Buccinum undatum,WHE
Atlantic white marlin,Pelagic,Tetrapturus albidus,WHM
"Wrasses, hogfishes, etc. nei",undefined,Labridae,WRA
Wreckfish,Demersal,Polyprion americanus,WRF
Yellowfin tuna,Pelagic,Thunnus albacares,YFT
Mediterranean slipper lobster,Benthic,Scyllarides latus,YLL
